id,tweet,tweet_length,tweet_cleaned,tweet_clst
1,"<e>Romney</e> got 3 less minutes and had to debate Candy Crowley,  he still out performed both of them.",103,"['Romney', 'get', 'less', 'minutes', 'debate', 'Candy', 'Crowley', 'still', 'perform']",Romney got 3 less minutes and had to debate Candy Crowley he still out performed both of them
2,"<e>Mitt  </e>is beating him UP!  on his record, on credibility, on character!!!",79,"['Mitt', 'beat', 'record', 'credibility', 'character']",Mitt is beating him UP on his record on credibility on character
3,I actually like  <e>Romney </e>'s response to immigration.,58,"['actually', 'like', 'Romney', 'response', 'immigration']",I actually like Romney 's response to immigration
4,"Just for that <a>immigration statement </a>that  <e>Romney  </e>answered, if I was 18, was enough to get my vote. 👍",115,"['immigration', 'statement', 'Romney', 'answer', 'enough', 'get', 'vote']",Just for that immigration statement that Romney answered if I was 18 was enough to get my vote 👍
5,This man  <e>Romney  </e>is tearing this dude up on <a>economics</a>,68,"['man', 'Romney', 'tear', 'dude', 'economics']",This man Romney is tearing this dude up on economics
6,"<e>Romney  </e>had less to prove, given the last debate. But he didn't back down an inch from the President.",108,"['Romney', 'less', 'prove', 'give', 'last', 'debate', 'back', 'inch', 'President']",Romney had less to prove given the last debate But he did n't back down an inch from the President
7,"<e>Romney </e>- he comes off as a dumbass, but I love his <a>plan</a> for small and large business owners, and has a great idea on <a>American manufacturing</a>",160,"['Romney', 'come', 'dumbass', 'love', 'plan', 'small', 'large', 'business', 'owners', 'great', 'idea', 'American', 'manufacture']",Romney he comes off as a dumbass but I love his plan for small and large business owners and has a great idea on American manufacturing
8,Great <a>closing</a> by  <e>Romney </e>. Summed it all up very well. #debates,77,"['Great', 'close', 'Romney', 'Summed', 'well', 'debate']",Great closing by Romney Summed it all up very well debates
9,Just ready for  <e>Romney </e> to become president lol,54,"['ready', 'Romney', 'become', 'president', 'lol']",Just ready for Romney to become president lol
10,"Get him on his trampling on the Constitution, <e>Mitt</e>. Please",65,"['Get', 'trample', 'Constitution', 'Mitt', 'Please']",Get him on his trampling on the Constitution Mitt Please
11,Go <e>Romney</e>!!! I'm tired of all this <a>immigration</a> shit!!!,68,"['Go', 'Romney', 'tire', 'immigration', 'shit']",Go Romney I 'm tired of all this immigration shit
12,<e>Romney</e> is the shit you people are crazy,46,"['Romney', 'shit', 'people', 'crazy']",Romney is the shit you people are crazy
13,<e>ROMNEY</e> IS A BEAST. all his ideas and policies are great. all immigrants have to have a green card or be deported and crack down on them!,143,"['ROMNEY', 'BEAST', 'ideas', 'policies', 'great', 'immigrants', 'green', 'card', 'deport', 'crack']",ROMNEY IS A BEAST all his ideas and policies are great all immigrants have to have a green card or be deported and crack down on them
14,Way to stick to your guns on illegal immigration #<e>Romney</e> . This country needs a president that care about securing our borders #debate,141,"['Way', 'stick', 'gun', 'illegal', 'immigration', 'Romney', 'country', 'need', 'president', 'care', 'secure', 'border', 'debate']",Way to stick to your guns on illegal immigration Romney This country needs a president that care about securing our borders debate
15,#debates  <e>Romney</e> is doing as well as he can on immigration.  But his <a>answer</a> on anchor babies getting a path to citizenship is a good one,150,"['debate', 'Romney', 'well', 'immigration', 'answer', 'anchor', 'baby', 'get', 'path', 'citizenship', 'good', 'one']",debates Romney is doing as well as he can on immigration But his answer on anchor babies getting a path to citizenship is a good one
